K,seed,epoch,classifier_score,embedding_score,train_loss,train_accuracy,test_accuracy
79,1,0,0.23560602470267175,0.23680085800397224,4.369570732116699,0.013278388418257236,0.013347570784389973
79,1,50,0.23688123691673718,0.23666438147076999,1.6946576833724976,0.9626831412315369,0.0
79,1,100,0.29321804373012594,0.2840502229727013,0.02023911289870739,1.0,0.0010678056860342622
79,1,150,0.30660456252354307,0.2951503798334041,0.009710474871098995,1.0,0.0016017085872590542
79,1,200,0.3048779788877221,0.30182811059143,0.005504509899765253,1.0,0.010144153609871864
79,1,250,0.30182090369528747,0.3083882461121568,0.0029314293060451746,1.0,0.04004271328449249
79,1,300,0.2947498271763112,0.3188913436731069,0.0015795327490195632,1.0,0.09983982890844345
79,1,350,0.32304377708248233,0.32707777030769636,0.0008671695832163095,1.0,0.22690871357917786
79,1,400,0.35955606128192796,0.3355146683452145,0.00048371951561421156,1.0,0.38547784090042114
79,1,450,0.3535216179194999,0.3436097953165313,0.0002737498434726149,1.0,0.5504538416862488
79,1,500,0.35274888284487727,0.35040094717586856,0.00015643710503354669,1.0,0.7052856683731079
79,1,550,0.4536457356819959,0.33652218583392235,9.062988829100505e-05,1.0,0.8344901204109192
79,1,600,0.4903616891914111,0.33136378963380086,5.316470196703449e-05,1.0,0.9103043675422668
79,1,650,0.4910701586440717,0.30770070123193033,3.166172609780915e-05,1.0,0.9540843963623047
79,1,700,0.4822091879217853,0.3486372261933295,1.9234137653256766e-05,1.0,0.9802455902099609
79,1,750,0.4739274255392924,0.3476092555384021,1.1966481906711124e-05,1.0,0.987720251083374
79,1,800,0.4597456770903632,0.35132479166130876,7.665364137210418e-06,1.0,0.9925253987312317
79,1,850,0.4569927771524723,0.36079896347582946,5.076127308711875e-06,1.0,0.9962627291679382
79,1,900,0.46797954461975666,0.37109065276065195,3.4796898944478016e-06,1.0,0.9967966079711914
79,1,950,0.4796210312030604,0.38197346682326566,2.4784771994745824e-06,1.0,0.9978644251823425
79,1,1000,0.4899478354477872,0.3942225420415869,1.8352715187575086e-06,1.0,0.9994661211967468
79,1,1050,0.49732997914254146,0.40684526475070365,1.420904709448223e-06,1.0,0.9994661211967468
79,1,1100,0.4977401168371633,0.41994844449765095,1.1597251159400912e-06,1.0,1.0
79,1,1150,0.49393523196067785,0.4524316863804621,9.902994406729704e-07,1.0,1.0
79,1,1200,0.4897991760126823,0.4700645446900614,8.851725965541846e-07,1.0,1.0
79,1,1250,0.485484438243557,0.49256611041126824,8.196456633413618e-07,1.0,1.0
79,1,1300,0.48103568834150057,0.5473856428163972,7.846306857572927e-07,1.0,1.0
79,1,1350,0.4768074327412494,0.580244867371332,7.640256285412761e-07,1.0,1.0
79,1,1400,0.47915128670347823,0.5924188389828364,7.518808615714079e-07,1.0,1.0
79,1,1450,0.4833290946603505,0.5904173432021108,7.436661348947382e-07,1.0,1.0
79,1,1500,0.4867315774175379,0.5929245268280641,7.363793201875524e-07,1.0,1.0
79,1,1550,0.4897105433904439,0.5953139309427957,7.290378789548413e-07,1.0,1.0
79,1,1600,0.49235351489069773,0.5975496026575636,7.218056339297618e-07,1.0,1.0
79,1,1650,0.49467825286145206,0.6000259110874487,7.164019280025968e-07,1.0,1.0
79,1,1700,0.49672693916190397,0.6028843853107766,7.084328217388247e-07,1.0,1.0
79,1,1750,0.49844522146014447,0.605742303871046,7.026470143500774e-07,1.0,1.0
79,1,1800,0.4998473422472939,0.6082852189641833,6.959332949918462e-07,1.0,1.0
79,1,1850,0.5011332840051251,0.6101458678438637,6.870362767585902e-07,1.0,1.0
