K,epoch,classifier_mean,classifier_sample_sd,embedding_mean,embedding_sample_sd,n_seeds
79,0,0.27351536857906245,0.03734133827457267,0.24332570848572707,0.018887534493378648,5
79,50,0.2520473635634535,0.01890303150958737,0.24693053913126642,0.020941166309642663,5
79,100,0.3004476137708659,0.0647934810550102,0.25463029585190017,0.01991431744439604,5
79,150,0.31344140934756554,0.06456986677115097,0.2528095275289306,0.026021279059397835,5
79,200,0.33615123617321646,0.07399333171660014,0.2560252925250387,0.027477471166074147,5
79,250,0.349731709515533,0.07607357206396752,0.26474108761361015,0.02858730808227355,5
79,300,0.3531243412357976,0.08474961470778118,0.2712006922469833,0.03388298152751842,5
79,350,0.3542726067955133,0.08053729635532896,0.27508782644081964,0.03570022192684308,5
79,400,0.3692091544909275,0.0767204134710705,0.29337898573486626,0.027595913228213174,5
79,450,0.37745629408958864,0.08041926338996785,0.31526337629930434,0.031420554827934294,5
79,500,0.39675266131499426,0.07492689663727853,0.3309186595722691,0.04097534027254925,5
79,550,0.4416556108504806,0.06627342092715076,0.34649126324182183,0.056571199753660414,5
79,600,0.46357363640533356,0.046978930232791594,0.3580607961200389,0.06672565394614333,5
79,650,0.4729802698818796,0.04411147785846644,0.37083605162304567,0.08617002719569757,5
79,700,0.4924128028988205,0.027280411777737587,0.3786892166736538,0.07226610360204681,5
79,750,0.5000292640625806,0.03658591041050685,0.3809237301294695,0.07489715965125951,5
79,800,0.4966753799640633,0.04828284044407173,0.38041281301371,0.0767848073518173,5
79,850,0.4802862739861687,0.04124848046017775,0.3879022203495389,0.07874265977906851,5
79,900,0.47590073334278526,0.04006934436869093,0.40073292974647107,0.07281691079141554,5
79,950,0.4762088199430706,0.03367397754525334,0.4208566459260066,0.056169635190136145,5
79,1000,0.482474276075529,0.035970729459469754,0.43721672572769665,0.0422154147633253,5
79,1050,0.48859976871241967,0.042696165977163685,0.44648167833781355,0.034732694645109134,5
79,1100,0.5001104087190342,0.042138931715712355,0.4510916130730297,0.028862265290851754,5
79,1150,0.5103806960076696,0.044660492766794964,0.47014675730268846,0.025191391934722054,5
79,1200,0.5225544435454437,0.0496153117095126,0.4778294301270315,0.02532079274543559,5
79,1250,0.5359409355377043,0.05745929409799211,0.48375581829094627,0.02604749293971948,5
79,1300,0.550480437701794,0.06963129034919043,0.49472067288734356,0.03922593633392485,5
79,1350,0.5639088368105212,0.08354483152047251,0.5003008556565759,0.0517942457848624,5
79,1400,0.5756278973569372,0.0953772639709242,0.5019726960916164,0.05600943455399258,5
79,1450,0.58872984858013,0.11249781004107023,0.5034665556209564,0.05244916507118202,5
79,1500,0.598746562765182,0.12666604465700199,0.5054029418959083,0.05233888980706247,5
79,1550,0.6096314660473416,0.14077624396470023,0.507102399415052,0.05306341804417615,5
79,1600,0.6233967781652241,0.1567610375194622,0.5084332873241632,0.05416608735069799,5
79,1650,0.6414961296559124,0.17613195291604952,0.5097385474799596,0.055455599712317005,5
79,1700,0.665654860816625,0.20349862252666842,0.5155955099082207,0.056890354054782356,5
79,1750,0.6876373341459137,0.23145033683070826,0.5073321952627141,0.060017182090581454,5
79,1800,0.695588977252599,0.24060014048257364,0.5051434407920501,0.06423878618019616,5
79,1850,0.6997017182633236,0.24443590999468529,0.5064442637085961,0.06564480762373778,5
79,1900,0.7019645390886994,0.24621900234560523,0.5070131462930745,0.06674943932035697,5
79,1950,0.7031397141788513,0.24707614908440276,0.5076906500759417,0.0667439056862875,5
79,2000,0.7034326337852533,0.24731802753444404,0.5079052634305677,0.06579880782557812,5
79,2050,0.7022495379137512,0.24737704431777716,0.5077374857215956,0.06390691415165882,5
79,2100,0.6951960209928595,0.25009042407276877,0.5074937892673936,0.061392349573805405,5
79,2150,0.6837843057202778,0.2534220126551081,0.5075592127882521,0.05827210720364176,5
79,2200,0.679822914920181,0.24491533272773627,0.5085402387211169,0.054718752109811586,5
79,2250,0.6720184726764562,0.23529192097634266,0.5091912701829198,0.051896486056206996,5
79,2300,0.6580116429279221,0.22356230680838668,0.5090657556307955,0.049909315774808574,5
79,2350,0.6439194239511791,0.21742473067509996,0.509121391384854,0.04862392163018918,5
79,2400,0.6331174043236503,0.21289095567153676,0.509787851200309,0.048051161316214765,5
79,2450,0.6205105440495022,0.2142231645478897,0.5122603467478404,0.04875577598143084,5
79,2500,0.6125634445013108,0.21773971652053764,0.5203891919257616,0.05511804444708952,5
79,2550,0.6091894214475346,0.21875409240006805,0.5465780349105205,0.09790528264749748,5
79,2600,0.6055302465823403,0.22043892189019004,0.5953359783768194,0.2080483188103735,5
79,2650,0.6032547528926367,0.22144883425383774,0.5935147689553586,0.21853957218185657,5
79,2700,0.6040989829856633,0.2207973643457174,0.5896088317990896,0.22286359870613676,5
79,2750,0.6063496128705236,0.21971988752775437,0.5863759266610841,0.226009760870258,5
79,2800,0.6109336524084001,0.2179303573218874,0.5838236093259224,0.22848070375041624,5
79,2850,0.6230528290727323,0.21534797206850498,0.5816512599217728,0.2305498503742863,5
79,2900,0.664702744034791,0.23022907414580113,0.5798068457961516,0.23232322117572912,5
79,2950,0.6788307926909433,0.24070906414905835,0.5781146539699858,0.2339315169013922,5
79,3000,0.6866168222082452,0.24895606274049353,0.576508237197686,0.23545235695182926,5
79,3050,0.6916484375746722,0.2539408933381035,0.5749000843418531,0.23695671547850705,5
79,3100,0.6992562735163291,0.2530940374394489,0.5732122150125661,0.2385448181878103,5
79,3150,0.7078595008669064,0.24958996429471048,0.5713530592986782,0.24031874133420764,5
79,3200,0.7234806919991347,0.24092798315037287,0.5692779844752466,0.24230576132892376,5
