architecture,K,epoch,matched_mean,matched_std,shuffled_mean,shuffled_std,n_seeds
mlp,79,1,-0.003632313934815287,0.01539811820605379,-0.000913297172506768,0.0032255697144341717,5
mlp,79,2,-0.003958274673629874,0.015185841922348555,-0.0008755356576963911,0.003379298112358227,5
mlp,79,3,-0.00419752548094536,0.014968718634747025,-0.000825808607897574,0.003529042224849538,5
mlp,79,4,-0.0044172320940964235,0.014777454816754196,-0.0007746047924246252,0.0036657649265775826,5
mlp,79,5,-0.004630333445905001,0.014547440414813238,-0.0007293850239354568,0.0037904190373918506,5
mlp,79,6,-0.004849187079691458,0.014304199060875268,-0.0006777339734222468,0.003911777222874962,5
mlp,79,7,-0.005063034801696722,0.014077323387354193,-0.0006216267282290223,0.004029057679676859,5
mlp,79,8,-0.005276608824577904,0.013825017204818059,-0.0005573321823417989,0.004138722507992766,5
mlp,79,9,-0.005482307899482496,0.013548579927457642,-0.00048674789571239005,0.0042412850213671294,5
mlp,79,10,-0.005678448277356145,0.013266654050544448,-0.00041497265626399773,0.0043446513529809905,5
mlp,79,11,-0.0058555827491383996,0.012986455272281943,-0.0003422882353092361,0.004445586358627363,5
mlp,79,12,-0.005994051234532393,0.012734458640348374,-0.0002669263303808499,0.0045485088955862256,5
mlp,79,13,-0.00611041934026131,0.012519388719689174,-0.00019080910457421746,0.004653438789312521,5
mlp,79,14,-0.006188491963560039,0.012341091771551392,-0.00011565516752723662,0.0047611267103921,5
mlp,79,15,-0.006234212297947815,0.012204287646280607,-4.9102704235930854e-05,0.0048638696415339855,5
mlp,79,16,-0.00625430066800386,0.012102984081214317,6.780855169279121e-06,0.004956793853967727,5
mlp,79,17,-0.006247511750119617,0.01202687957050467,5.192030145204363e-05,0.005041013329060969,5
mlp,79,18,-0.006222351874656689,0.011993682439055733,8.511453066912741e-05,0.005115599313330014,5
mlp,79,19,-0.006178034522855315,0.012010980274690124,0.00010482637762847472,0.005179813513859033,5
mlp,79,20,-0.006124928753990369,0.012069194980168535,0.00011288827518496358,0.005237994195045575,5
mlp,79,21,-0.006054570245945065,0.01216012744651145,0.00011338374553582324,0.005291302435389514,5
