architecture,K,epoch,centered_matched_mean,centered_matched_std,centered_shuffled_mean,centered_shuffled_std,n_seeds
mlp,79,35,0.6771462253838362,0.006591658024401924,0.0017409496190399453,0.0020640318504775448,5
mlp,79,36,0.6794181654038112,0.006652330627595253,0.0017521238874523976,0.0020011976527233846,5
mlp,79,37,0.6815342931169156,0.00670352441788719,0.0017643779627530911,0.0019462132775793536,5
mlp,79,39,0.6853656391104506,0.006797278430914225,0.0017861902492262798,0.001852580747470232,5
mlp,79,40,0.687111166352142,0.006845960989396624,0.001797423547961875,0.0018192377315479902,5
mlp,79,41,0.6887397236488709,0.006900452365695035,0.001809831504100789,0.001787728921765162,5
mlp,79,42,0.6902716159967076,0.006947730691191549,0.001823023163653959,0.0017625650270732891,5
mlp,79,44,0.6930919828811637,0.007046095741487223,0.0018459029582573194,0.0017187277105518328,5
mlp,79,45,0.6943764114882092,0.007083834888626285,0.0018594007582376977,0.0016959715816750505,5
mlp,79,46,0.6955856384872535,0.007119001318694929,0.0018683451353588725,0.001674799827299396,5
mlp,79,48,0.697762099616091,0.007214522537649201,0.001876920703373895,0.001638434938504368,5
mlp,79,49,0.6987566323075655,0.007266238376776647,0.0018785207833796704,0.0016277349171699815,5
mlp,79,51,0.7005763000917534,0.0073795296367987345,0.001888545524865077,0.0016141046204837613,5
mlp,79,53,0.7022058289414443,0.007521379960704222,0.0019109591508015972,0.0016023408105845167,5
mlp,79,54,0.7029516141820056,0.007592723047375371,0.0019274792140477927,0.0016025540511088953,5
mlp,79,56,0.7043033244500327,0.007722121767121338,0.0019618675607196083,0.0016036545649513708,5
mlp,79,58,0.7054865188202599,0.007855001561282935,0.001989310927002921,0.0015962887411405738,5
mlp,79,59,0.7060320036187637,0.007925851761268764,0.0020014925974771195,0.0015918774599657803,5
mlp,79,61,0.7070512092018924,0.00807201827490647,0.0020292744417128336,0.0015879765276188707,5
mlp,79,63,0.7080020413812542,0.008228741457773447,0.002061588832051321,0.0015842553193718665,5
mlp,79,65,0.7088758537951879,0.0083937853273581,0.002087575785862448,0.0015733150155544315,5
mlp,79,67,0.709643900552976,0.008527650709174876,0.0021086871710938758,0.001559615291521946,5
mlp,79,69,0.7103018557951618,0.008628981742630154,0.002132830669007558,0.001547145389316916,5
mlp,79,72,0.7110407456403348,0.008788112602207522,0.0021738679463162635,0.0015422959080330489,5
mlp,79,74,0.7113620964707759,0.008888250341677143,0.002199302360351887,0.0015426923551973995,5
mlp,79,76,0.7115518357719466,0.008959366919687224,0.002228280439041383,0.0015400108080585702,5
mlp,79,79,0.7116132872441117,0.008999256913351676,0.002280610063263982,0.0015330087381609633,5
mlp,79,81,0.7114954995163701,0.009013118210179598,0.0023109327295049763,0.0015357551078609478,5
mlp,79,84,0.7111100916094524,0.009036280423297257,0.0023511030167816783,0.0015436293384097945,5
mlp,79,86,0.7106999899400881,0.009043704580524954,0.0023661792065663083,0.0015540336193309598,5
mlp,79,89,0.7099110932798556,0.0090577416603717,0.002374338426142832,0.0015749083213922861,5
mlp,79,92,0.7089564998656159,0.009075030887036675,0.0023760890376035514,0.001599689221292441,5
mlp,79,95,0.7077912621443392,0.009086047486719689,0.0023779652279754654,0.0016240754133534719,5
mlp,79,98,0.7064802305518556,0.009028933979890777,0.002363997847018524,0.0016449697749134123,5
mlp,79,101,0.7050539984324722,0.008922190685098294,0.002348154127094152,0.001665865598561605,5
mlp,79,104,0.7035149055281955,0.008761432367802035,0.0023414315249723947,0.0016945397250347012,5
mlp,79,107,0.701899369613941,0.008569947014920655,0.0023291483045329844,0.0017352802204849524,5
mlp,79,110,0.7002462537177986,0.00832584124687612,0.0023171577436431803,0.0017730655161672646,5
mlp,79,114,0.6980267395115376,0.007959407503277425,0.00228062404667058,0.0018230266492902307,5
mlp,79,117,0.6963696324353704,0.007668160102662823,0.002246579758880137,0.0018547231779110448,5
mlp,79,121,0.6941750570042344,0.007282542374254942,0.002191687111333216,0.0018930702495213703,5
mlp,79,125,0.6920658036745364,0.006878841968793372,0.002124862269858251,0.0019275365736572314,5
mlp,79,129,0.690062519677024,0.006544495969181115,0.002062041885329816,0.0019827344163909815,5
mlp,79,133,0.6882499971689964,0.006308768537892639,0.0019941588997590457,0.0020516391609894033,5
mlp,79,137,0.6866912679533067,0.006064378273414652,0.0019350829256547047,0.0021209910554171258,5
mlp,79,141,0.6854281743641619,0.005895626841209058,0.0018769816243818388,0.002177048459975404,5
mlp,79,146,0.6842929354316837,0.005860817087250561,0.0018114295640230024,0.0022437968620228174,5
mlp,79,150,0.6837402587859469,0.005915062691306302,0.001774458283861358,0.0022886874934426515,5
mlp,79,155,0.683477586735709,0.006073466111003939,0.0017487207984430886,0.0023262555533205757,5
mlp,79,160,0.6836618879022422,0.0062943049288177524,0.001723754255480442,0.00234598856002545,5
mlp,79,165,0.6842724863573142,0.006535492351652659,0.0017010155027791095,0.002364947819023628,5
mlp,79,170,0.6852497740198142,0.006752486221061189,0.0016650953809671572,0.002407240507480306,5
mlp,79,176,0.6868242231363265,0.006963759391963905,0.00161680819792057,0.002459495585104699,5
mlp,79,181,0.6884024655434338,0.007096320173241987,0.0015728852381184152,0.0024890326841197088,5
mlp,79,187,0.6904551592204369,0.00722755195187919,0.0015239027521435848,0.002508367161483813,5
mlp,79,193,0.6925996430404429,0.00734733537956601,0.0014834248343420931,0.002525449737514371,5
mlp,79,199,0.6947511676866431,0.00747286334346015,0.0014527988490768535,0.0025485125736992124,5
mlp,79,205,0.6968540792369049,0.007606459802392607,0.0014332571656954667,0.0025656456530995073,5
mlp,79,211,0.6988614312832272,0.007717508678024523,0.00142066755130207,0.0025806032251435873,5
mlp,79,218,0.701090246471596,0.007824860787951589,0.0014136922221155335,0.0025925042904826182,5
mlp,79,225,0.7031696648409844,0.007921083075687941,0.0014093197173803548,0.0025998953832977274,5
mlp,79,232,0.7050734309402725,0.00801658966221976,0.0014065394959919548,0.002607586323520643,5
mlp,79,239,0.7068023510173415,0.008105625315899473,0.0014014575491529823,0.002615298208974625,5
mlp,79,247,0.7085649581013691,0.008190777556902945,0.0013976519147436257,0.002623147626529409,5
mlp,79,255,0.7101226151086408,0.008261277766966479,0.0013960756579455827,0.0026313708337700813,5
mlp,79,263,0.7115101018162439,0.00832657688073541,0.0013935969094248648,0.0026384812727185984,5
mlp,79,271,0.7127565375436343,0.008381433308866818,0.0013914223960360544,0.0026440589306866284,5
mlp,79,279,0.7138899381410112,0.008423663683266655,0.0013901028827119845,0.0026479023265593205,5
mlp,79,288,0.7150603450398918,0.008457496705086796,0.0013885061871494744,0.002651131347258819,5
mlp,79,297,0.7161385863408205,0.008483273079385874,0.0013865371525220913,0.0026533443992918988,5
mlp,79,307,0.7172527850781932,0.008503433629752075,0.001382327240031764,0.002656125721412451,5
mlp,79,316,0.7181878809115204,0.008520253137523848,0.0013778964509991286,0.0026592362745581958,5
mlp,79,326,0.719167257670544,0.008539530702273795,0.0013724611523271025,0.0026624346465637036,5
mlp,79,336,0.7200932700341869,0.008557959661225727,0.001366742694450852,0.002665389329560199,5
mlp,79,347,0.7210614920379341,0.008576606289958457,0.0013612240647934639,0.0026678969660561317,5
mlp,79,358,0.7219838566764933,0.008594116418568176,0.0013562733231505485,0.002670265012014042,5
mlp,79,369,0.7228654462705071,0.00860915426547176,0.00135106202227727,0.0026718067856926096,5
mlp,79,381,0.7237883467266736,0.008625040127359247,0.0013458047151506892,0.0026730805743192063,5
mlp,79,393,0.7246758455101046,0.008641980031141965,0.001340237302614763,0.0026742457292877313,5
mlp,79,405,0.7255328699457422,0.008655176265455736,0.0013353939835226,0.0026758051827289464,5
mlp,79,418,0.7264309329525122,0.008665500990117985,0.0013312328033976766,0.0026796787071130907,5
mlp,79,431,0.7273010855551505,0.008674631767371564,0.0013268393462192605,0.002683911984530822,5
mlp,79,444,0.7281500735101751,0.008680020333438159,0.001323303909168109,0.002688065036775132,5
mlp,79,458,0.7290430443271824,0.00868250054812136,0.0013199575657809365,0.0026929425716853903,5
mlp,79,473,0.7299763446150493,0.008683788587062875,0.0013168642029469254,0.002698959450994312,5
mlp,79,488,0.7308892940971365,0.008683060038967301,0.0013139056864222335,0.002704839674924331,5
mlp,79,503,0.7317828513550044,0.008682088881290346,0.001310786304071364,0.0027100218185354603,5
mlp,79,519,0.7327159004493025,0.008680918902912598,0.0013072614171308898,0.0027146683483924034,5
mlp,79,535,0.7336334485834024,0.008676092710676873,0.0013034241831348888,0.002719219368816896,5
mlp,79,552,0.7345928143402258,0.008666184008350194,0.0012989669096292933,0.0027244307753034533,5
mlp,79,569,0.7355350906120686,0.008652335441761938,0.0012942997137563366,0.0027301973806819267,5
mlp,79,587,0.736519051362014,0.008636392973656145,0.0012895048067878378,0.002735932652986369,5
mlp,79,606,0.7375439571270337,0.008615077312473391,0.0012846117545474284,0.0027413449393808857,5
mlp,79,625,0.7385581897844444,0.008591081843508198,0.0012803731088514732,0.0027467651942945943,5
mlp,79,644,0.7395634256210004,0.008564583248343582,0.0012765906666658022,0.0027520712729285895,5
mlp,79,665,0.7406638767985568,0.008530236033524296,0.001272770384662118,0.0027580555043013955,5
mlp,79,685,0.7417023502496822,0.008497241280355526,0.0012692826704841854,0.002763722552930596,5
mlp,79,707,0.7428365117787953,0.008462579215061418,0.0012658647040157747,0.002770517378609568,5
mlp,79,729,0.7439620575686093,0.008429682432699296,0.0012625491449285088,0.002777225831439505,5
mlp,79,752,0.7451332645103336,0.008397948481392348,0.001259627287756932,0.002783733630446418,5
mlp,79,776,0.7463463613454658,0.008365543792140181,0.0012571199705519673,0.0027911103560745933,5
mlp,79,800,0.7475511176299118,0.008332485873011114,0.001255294680319815,0.002797733388668686,5
mlp,79,825,0.7487978668571487,0.008296394648658802,0.001253627752634877,0.002805003287764098,5
mlp,79,851,0.7500879500391469,0.008258662194730199,0.0012509882143961198,0.0028139237592747068,5
mlp,79,878,0.7514213171989017,0.008215257349511205,0.0012467008169510403,0.0028242848156220016,5
mlp,79,906,0.7527991537482758,0.008171162331173761,0.001241467530313531,0.0028354396564476505,5
mlp,79,934,0.7541724266836564,0.008123799516163377,0.0012355979166368471,0.002846427530677612,5
mlp,79,963,0.7555897109337696,0.008075080565902611,0.0012284325325628855,0.002859012187229913,5
mlp,79,994,0.7570958484004253,0.008019860850895292,0.0012208817856068537,0.002872750462704838,5
mlp,79,1025,0.7585949178232341,0.007961722620053291,0.001212847792046274,0.002887436404032081,5
mlp,79,1057,0.760133216548186,0.007902320364136088,0.0012045249876769823,0.002902278363649099,5
mlp,79,1090,0.7617098238041141,0.007840302583763949,0.0011957338727213145,0.0029188785484509463,5
mlp,79,1125,0.763371851195774,0.007771741678120296,0.0011855599674098763,0.0029373624021655762,5
mlp,79,1160,0.765019783335936,0.0077028407596424295,0.001174838122773177,0.0029576368150597498,5
mlp,79,1197,0.7667477536978253,0.007630909442882105,0.001161712179719358,0.0029810129958321736,5
mlp,79,1234,0.7684604090238486,0.007555084863552699,0.001147643513765826,0.0030056000273834312,5
mlp,79,1273,0.7702490997624365,0.007470681538874787,0.0011331391950920478,0.0030319631476452727,5
mlp,79,1313,0.7720645208197647,0.007378088932377723,0.0011168323318797807,0.0030573409732624094,5
mlp,79,1354,0.7739048364700739,0.007282409663350219,0.0010979298872685363,0.003084030066732017,5
mlp,79,1397,0.7758141989882593,0.007180344344211934,0.001075806782823105,0.0031129254510714062,5
mlp,79,1441,0.7777396130112731,0.007070327736146906,0.0010519825522582388,0.0031398240053436264,5
mlp,79,1486,0.7796833451314382,0.006956263356938071,0.0010258582709173803,0.003166658542697901,5
mlp,79,1533,0.7816889773519817,0.006835276785042402,0.0009976934574915301,0.003194734269583319,5
mlp,79,1581,0.7837150576184385,0.006709481523271644,0.0009675467442724555,0.0032214692795265593,5
mlp,79,1631,0.785794816044058,0.006575212011859032,0.0009332108537512447,0.00324776116137943,5
mlp,79,1682,0.7878923102744982,0.006439281946444643,0.0008978906271823019,0.0032750807982672523,5
mlp,79,1735,0.7900437070682387,0.006297062988842764,0.0008606164370836685,0.0033027142802413067,5
mlp,79,1789,0.79220020894264,0.006156551661152057,0.0008219711005623328,0.0033296446486181727,5
mlp,79,1845,0.7943967206264146,0.00601490705616644,0.0007817397399062445,0.0033558219951960017,5
mlp,79,1903,0.7966239722488891,0.005871020551671423,0.0007384792782241485,0.003384211099767857,5
mlp,79,1963,0.7988820331604914,0.005723257218954295,0.0006938373224552586,0.003413447017140766,5
mlp,79,2025,0.8011636675112325,0.005570870855936315,0.0006485159000348147,0.0034435435616345196,5
mlp,79,2089,0.8034710036411454,0.0054228073054684856,0.0006040029486619863,0.0034738954968979397,5
mlp,79,2154,0.8057584553004429,0.005287011384402531,0.0005616839676257817,0.003505176643974035,5
mlp,79,2222,0.8080914895284994,0.0051542146892742495,0.0005207808475761275,0.003537619400533042,5
mlp,79,2292,0.8104255404622324,0.005031316918450537,0.00048083092688147935,0.003571940341950813,5
mlp,79,2364,0.8127452628122928,0.004907268943248514,0.0004424331169841975,0.0036102104390960134,5
mlp,79,2438,0.8150568117383481,0.0047832520783602775,0.0004053218696130396,0.0036503096961406243,5
mlp,79,2515,0.817390064219197,0.004654450263737488,0.0003659394714830764,0.0036958213767307587,5
mlp,79,2594,0.819702643646731,0.004527333851640377,0.0003270389997493394,0.0037444876916966014,5
mlp,79,2675,0.821993286459637,0.00439618371744793,0.00028922382689061595,0.003795268671072883,5
mlp,79,2759,0.8242709779090136,0.004252303598194242,0.00025243623726131317,0.003848037571460068,5
mlp,79,2846,0.8265375769511497,0.00410357137225186,0.0002184902297221444,0.0038974697206558603,5
mlp,79,2936,0.8287865650977299,0.003935197225907636,0.0001825758861925609,0.003949838917140615,5
mlp,79,3028,0.830982896529683,0.0037597171106493596,0.00014480562229857895,0.0040029674702565495,5
mlp,79,3123,0.8331440524674782,0.003568386932179209,0.00010855552732624172,0.004055583486665657,5
mlp,79,3221,0.8352656242698305,0.0033645587576738565,7.255530421326326e-05,0.004109130956557836,5
mlp,79,3323,0.8373564134908914,0.003138563598570635,3.717175707104337e-05,0.004164782910830499,5
mlp,79,3427,0.8393726776444728,0.0029069780778759897,5.025722292621108e-06,0.004217144513856122,5
mlp,79,3535,0.8413438108812945,0.002678299742995356,-2.4463374823772476e-05,0.004268591430410378,5
mlp,79,3646,0.8432561712489475,0.0024698315729307376,-5.544873006252057e-05,0.004317415225375737,5
mlp,79,3760,0.8451080091867036,0.0022740223167186315,-8.564062684173458e-05,0.004363605859893198,5
mlp,79,3879,0.8469124426717581,0.00210979195813907,-0.00011923812246844012,0.004412497970349514,5
mlp,79,4000,0.8486145867964762,0.002002610568109681,-0.0001550805359972452,0.004461904418992951,5
mlp,79,4126,0.8502467815720433,0.0019654323086777197,-0.0001918790791588785,0.004509260254815563,5
mlp,79,4256,0.8517950214826607,0.0019947359414518445,-0.00023202780015576084,0.0045505132743131485,5
mlp,79,4390,0.8532612123232479,0.002098505188068203,-0.0002746242436508804,0.004587156485156996,5
mlp,79,4528,0.8546370342810958,0.0022762804523192696,-0.0003166379182838403,0.004624589650453797,5
mlp,79,4670,0.8559249466058132,0.002504882977221766,-0.00035480685716922356,0.004663477802123255,5
mlp,79,4817,0.8571295007038895,0.002775363064670428,-0.000388877736931033,0.004705599982411649,5
mlp,79,4968,0.8582491372431604,0.003065094957620219,-0.00042088397814827336,0.0047500229772378215,5
mlp,79,5124,0.8592864519295007,0.0033739324061155705,-0.00044482265762221666,0.004793908083236511,5
mlp,79,5285,0.8602589364314317,0.0036996401088110736,-0.0004614188782418287,0.00484021404993093,5
mlp,79,5452,0.8611675980900741,0.004039177564717895,-0.0004748169580792398,0.004891686571554084,5
mlp,79,5623,0.8620273300051815,0.0043925832703544075,-0.0004885204771812219,0.0049445443398431375,5
mlp,79,5800,0.8628474589849879,0.0047522830610817884,-0.0005009595957736191,0.0049966120171425375,5
mlp,79,5982,0.8636209294289678,0.005101802991235396,-0.000506579357995707,0.005046620061974318,5
mlp,79,6170,0.8643483211727775,0.005452362894541986,-0.0005066563603334987,0.005097944250565958,5
mlp,79,6364,0.8650334687811041,0.005817648516970858,-0.0005051500068254549,0.005147070819116671,5
mlp,79,6564,0.8656814687547477,0.006198345385380096,-0.0005043105753637331,0.005188967711064248,5
mlp,79,6770,0.8662983058234222,0.006570216368576851,-0.0005001938872396812,0.0052281003749846695,5
mlp,79,6983,0.8668908287275162,0.006948796960548936,-0.0004948432655964294,0.0052620485992679695,5
mlp,79,7203,0.8674641327573921,0.00733932189799766,-0.0004838043258553958,0.0052928607805909555,5
mlp,79,7429,0.8680370427367053,0.007726086304352201,-0.00046729117631772967,0.005320773952681374,5
mlp,79,7662,0.8686145761987699,0.008114133090907959,-0.0004525574806935687,0.005338697506014246,5
mlp,79,7903,0.8692014848205367,0.00852211824116565,-0.0004353186895962118,0.005354205406694065,5
mlp,79,8152,0.8698053891809862,0.008954594349333829,-0.0004160049629989642,0.005364631099419686,5
mlp,79,8408,0.8704093973738551,0.009405002127040894,-0.00039904450123506104,0.005374157495030497,5
mlp,79,8672,0.8710303185753396,0.00987969981988275,-0.00038584562772005373,0.005381487223718625,5
mlp,79,8945,0.8716537236313389,0.01035692601507022,-0.00037183497611805756,0.005389610558683267,5
mlp,79,9226,0.8723052817035942,0.010825391635881757,-0.0003637150760793656,0.005398930956654813,5
mlp,79,9516,0.8730084573294186,0.011282044948809805,-0.00035887693964653956,0.0054110935557375485,5
mlp,79,9815,0.8737607729515815,0.011717097138537995,-0.00036027289571766385,0.005430084253681995,5
mlp,79,10124,0.8745784349025703,0.012135733518780886,-0.00037093776398942576,0.005456295912916694,5
mlp,79,10442,0.8754760149756148,0.012534426636794674,-0.0003857849672479769,0.005487631430869596,5
mlp,79,10770,0.8764635364684029,0.012908135938039855,-0.00040653639706351893,0.005523854656910482,5
mlp,79,11109,0.8775379462750241,0.013244729175719267,-0.00043373668519171527,0.005563808135486175,5
mlp,79,11458,0.8787136347774952,0.013533276938695037,-0.00045867736035233966,0.0056070600129019335,5
mlp,79,11818,0.879990563307832,0.013764714372413576,-0.0004840585160911872,0.005652856801752737,5
mlp,79,12189,0.881375566090464,0.013933763237776642,-0.0005073032967852486,0.0057011330301949235,5
mlp,79,12572,0.8828714638859395,0.014076515018761254,-0.0005287585246481315,0.005751084431310901,5
mlp,79,12968,0.8844904712945996,0.014175403094528605,-0.0005526073535015487,0.005803021102967206,5
mlp,79,13375,0.8862354115167191,0.014234304924842733,-0.0005729753268338009,0.005856619536616689,5
mlp,79,13796,0.8881347980769594,0.014253636310010644,-0.0005853600701726599,0.0059085604596923955,5
mlp,79,14229,0.8901983438646427,0.014225104183704157,-0.0005941827446918022,0.005959691928596256,5
mlp,79,14677,0.8924676256731733,0.014163279146629716,-0.0006002574825482023,0.006011133923123278,5
mlp,79,15138,0.894964164400554,0.01408202802962494,-0.0006038287324552327,0.006057994305955615,5
mlp,79,15614,0.8977272161103016,0.013988125308176365,-0.000601183375624949,0.006115808422273457,5
mlp,79,16104,0.9007713308599594,0.013876826775980925,-0.0006036681492749178,0.006169519153287017,5
mlp,79,16611,0.9041169893715603,0.013735981503701424,-0.0006090206183546238,0.00622463444202069,5
mlp,79,17133,0.9077115934809814,0.013576623153324061,-0.0006203578056284297,0.006278481988691965,5
mlp,79,17671,0.9114879875534567,0.01340172944829662,-0.0006463136254592162,0.006340703856175666,5
mlp,79,18227,0.9153662525571068,0.013174171643946722,-0.0006891431935960384,0.006407822198962765,5
mlp,79,18800,0.9191607344572976,0.012853601249987693,-0.0007451310387150227,0.006466240110359195,5
mlp,79,19391,0.922676946731934,0.01248257341700793,-0.000807244056346785,0.00652743984380535,5
mlp,79,20000,0.9256735572354591,0.012060070076696123,-0.000866084587733452,0.006600558127428828,5
mlp,97,1,0.07994264876109142,0.011588309545833073,-0.001810819852722936,0.0026072021616265454,5
mlp,97,2,0.15146602814589546,0.01121323372252208,-0.001708250063870952,0.003019086462856724,5
mlp,97,3,0.21507606102998325,0.010396311504633054,-0.0015585046666918058,0.0033319316801607842,5
mlp,97,4,0.2710159859770489,0.00949063727244177,-0.0013406238575415456,0.0036122388536477053,5
mlp,97,5,0.3194520919769029,0.008591617621679096,-0.0011510335900096562,0.00383682353313801,5
mlp,97,6,0.3613407491773556,0.007600957935130824,-0.0009947777874447237,0.004029998279548249,5
mlp,97,7,0.39728418192030224,0.0067346526751453995,-0.0008997781836817728,0.004193024187433114,5
mlp,97,8,0.4281175341779595,0.00582461689717041,-0.0008194364517243171,0.004323094786319356,5
mlp,97,9,0.454696012743367,0.005005526360843269,-0.0007406024191167468,0.004420083610733789,5
mlp,97,10,0.4776376340685671,0.004446817940322348,-0.0006710371051416577,0.004522345605615285,5
mlp,97,11,0.4977110008009863,0.004030580313188222,-0.0005785710524796632,0.004611907166550099,5
mlp,97,12,0.5152926299657958,0.003692427755339507,-0.00047790012878631426,0.004681918794057594,5
mlp,97,13,0.5308082527552899,0.0034178190551132316,-0.00039970435472634104,0.004712671364001642,5
mlp,97,14,0.54464871327105,0.0031997276724566124,-0.00032380302458003967,0.004701603181325572,5
mlp,97,15,0.5570454934074749,0.0030868872070208687,-0.0002621970804940133,0.0046872408024364615,5
mlp,97,16,0.5681732512378147,0.0030175827453629753,-0.0001967665584963455,0.004657001920187035,5
mlp,97,17,0.5781850662079493,0.002926411891627958,-0.0001288833129765278,0.004620773570887373,5
mlp,97,18,0.5872333557986085,0.0028793406378868403,-7.019917691833635e-05,0.004591300175130704,5
mlp,97,19,0.5954931339016907,0.0028587146712535537,-1.2756787315428182e-05,0.00456115386046293,5
mlp,97,20,0.6030807839601751,0.002864523109359737,5.131848619371864e-05,0.00452754398140892,5
mlp,97,21,0.6100747621798668,0.002906157886649972,0.00010631169871545033,0.004489656553348703,5
mlp,97,22,0.6165208412554297,0.0029412914647911625,0.0001475351984117348,0.004455515373388044,5
mlp,97,23,0.6224616586023275,0.0029235248338213564,0.00019257389313003526,0.004421813779475441,5
mlp,97,24,0.6279489138100612,0.002919221539221969,0.00023611915069769417,0.004389986474719179,5
mlp,97,25,0.6330524820724948,0.0029441517360714545,0.00027295208936245225,0.004356505718218534,5
mlp,97,26,0.637804859273582,0.002989924068736785,0.0003082254465999551,0.0043241824091153555,5
mlp,97,27,0.6422528780045338,0.0030803391793204097,0.0003457303701472578,0.00429298503866627,5
mlp,97,28,0.646391844376075,0.003174302776953896,0.00038792172107957116,0.0042663716834589185,5
mlp,97,29,0.6502384634513707,0.0032779252133197678,0.000431932433969213,0.004228642832283589,5
mlp,97,30,0.6538267374021146,0.003393426001435419,0.00047547331959648786,0.004187091570373371,5
mlp,97,31,0.657195252750927,0.003512400532346388,0.0005195136482495528,0.004141439746003011,5
mlp,97,32,0.6603370201084158,0.0036330625826233626,0.0005639725814631343,0.004095572126455241,5
mlp,97,33,0.6632549100529465,0.0037370346070837186,0.0006105585157226382,0.004046327208760321,5
mlp,97,34,0.6659842069089452,0.00385926992650219,0.0006614285079591918,0.003999873982966646,5
mlp,97,35,0.6685467398895782,0.003969154856898392,0.0007219408992080636,0.003951487918556206,5
mlp,97,36,0.6709416848735296,0.004082352653276464,0.0007844388911054486,0.003904220494671236,5
mlp,97,37,0.6731687861963752,0.004203761447649736,0.00084544567952865,0.003856890371160765,5
mlp,97,39,0.677099652942238,0.004536392528466976,0.0009598624679854756,0.0037614804933411095,5
mlp,97,40,0.6788460519095375,0.004741494332691059,0.001018472109337089,0.0037159823650911973,5
mlp,97,41,0.6804801151872693,0.004940703131174045,0.0010742231002244397,0.003671838447600027,5
mlp,97,42,0.6820103318089368,0.005149154972711328,0.0011291797623941059,0.0036346028768497033,5
mlp,97,44,0.6847520883881263,0.005603711616795053,0.0012410166015744085,0.003567025338006245,5
mlp,97,45,0.6859783675043165,0.005833388702755425,0.0012981216457408355,0.003540292466332908,5
mlp,97,46,0.6871025656212529,0.00607743663312269,0.0013545762885610057,0.00351472252603028,5
mlp,97,48,0.6890824043340176,0.006552142752873643,0.0014590477121627769,0.0034776597848673757,5
mlp,97,49,0.6899569350460841,0.006792729219643225,0.001508092204161994,0.0034650109319932904,5
mlp,97,51,0.6914952613879223,0.007286161472091764,0.001605454847235232,0.00343269109941556,5
mlp,97,53,0.6927748287364522,0.007757900216192417,0.0017113834105189456,0.003392955648553063,5
mlp,97,54,0.6933296548903877,0.007975496605309633,0.001764572542414647,0.0033719490879998574,5
mlp,97,56,0.694290018150429,0.00840141668360821,0.0018691386379078383,0.003331224272065453,5
