candidate,seed,classifier_onset,embedding_onset,lead,classifier_first_complete,classifier_first_lower_bound,final_test_accuracy
e2e-4_d1e-3_wd0,1,,,,False,False,0.5660644769668579
e2e-4_d1e-3_wd0,2,550,600,50,True,False,0.5309953689575195
e2e-4_d1e-3_wd0,3,,,,False,False,0.4870705008506775
e2e-4_d1e-3_wd0p2,1,,,,False,False,0.9992915391921997
e2e-4_d1e-3_wd0p2,2,650,700,50,True,False,0.9939780235290527
e2e-4_d1e-3_wd0p2,3,,,,False,False,0.9939780235290527
e2e-4_d1e-3_wd0p4,1,7500,,,False,True,1.0
e2e-4_d1e-3_wd0p4,2,500,650,150,True,False,1.0
e2e-4_d1e-3_wd0p4,3,,,,False,False,0.9996457695960999
e2e-4_d1e-3_wd0p6,1,,,,False,False,1.0
e2e-4_d1e-3_wd0p6,2,450,600,150,True,False,1.0
e2e-4_d1e-3_wd0p6,3,,,,False,False,1.0
e2e-4_d2e-3_wd0,1,,,,False,False,0.46156570315361023
e2e-4_d2e-3_wd0,2,600,750,150,True,False,0.5072617530822754
e2e-4_d2e-3_wd0,3,,,,False,False,0.3963868319988251
e2e-4_d2e-3_wd0p2,1,,,,False,False,1.0
e2e-4_d2e-3_wd0p2,2,550,700,150,True,False,1.0
e2e-4_d2e-3_wd0p2,3,,,,False,False,1.0
e2e-4_d2e-3_wd0p4,1,,,,False,False,1.0
e2e-4_d2e-3_wd0p4,2,450,600,150,True,False,1.0
e2e-4_d2e-3_wd0p4,3,,,,False,False,1.0
e2e-4_d2e-3_wd0p6,1,4250,,,False,True,1.0
e2e-4_d2e-3_wd0p6,2,400,600,200,True,False,1.0
e2e-4_d2e-3_wd0p6,3,5150,,,False,True,1.0
e2e-4_d3e-3_wd0,1,,,,False,False,0.509387195110321
e2e-4_d3e-3_wd0,2,700,1100,400,True,False,0.5267446041107178
e2e-4_d3e-3_wd0,3,,,,False,False,0.4410201907157898
e2e-4_d3e-3_wd0p2,1,,,,False,False,1.0
e2e-4_d3e-3_wd0p2,2,450,800,350,True,False,1.0
e2e-4_d3e-3_wd0p2,3,,,,False,False,1.0
e2e-4_d3e-3_wd0p4,1,2750,6000,3250,True,False,1.0
e2e-4_d3e-3_wd0p4,2,350,900,550,True,False,1.0
e2e-4_d3e-3_wd0p4,3,9750,,,False,True,1.0
e2e-4_d3e-3_wd0p6,1,8750,6100,-2650,False,False,1.0
e2e-4_d3e-3_wd0p6,2,300,650,350,True,False,1.0
e2e-4_d3e-3_wd0p6,3,3650,6700,3050,True,False,1.0
