candidate,seed,classifier_onset,embedding_onset,lead,classifier_first_complete,classifier_first_lower_bound,final_test_accuracy
e2e-4_d2e-3_wd0p8,1,,,,False,False,1.0
e2e-4_d2e-3_wd0p8,2,350,500,150,True,False,1.0
e2e-4_d2e-3_wd0p8,3,2050,4450,2400,True,False,1.0
e1e-4_d2e-3_wd0p8,1,5900,,,False,True,1.0
e1e-4_d2e-3_wd0p8,2,300,700,400,True,False,1.0
e1e-4_d2e-3_wd0p8,3,6600,,,False,True,1.0
e5e-5_d2e-3_wd0p8,1,5650,,,False,True,1.0
e5e-5_d2e-3_wd0p8,2,400,1000,600,True,False,1.0
e5e-5_d2e-3_wd0p8,3,,,,False,False,1.0
e2e-5_d2e-3_wd0p8,1,,,,False,False,1.0
e2e-5_d2e-3_wd0p8,2,500,2400,1900,True,False,1.0
e2e-5_d2e-3_wd0p8,3,,,,False,False,1.0
e1e-4_d4e-3_wd0p8,1,,2500,,False,False,1.0
e1e-4_d4e-3_wd0p8,2,300,650,350,True,False,1.0
e1e-4_d4e-3_wd0p8,3,6550,,,False,True,1.0
e5e-5_d4e-3_wd0p8,1,,7200,,False,False,1.0
e5e-5_d4e-3_wd0p8,2,1500,1650,150,True,False,1.0
e5e-5_d4e-3_wd0p8,3,3350,,,False,True,1.0
e1e-4_d2e-3_wd1p2,1,,,,False,False,1.0
e1e-4_d2e-3_wd1p2,2,300,650,350,True,False,1.0
e1e-4_d2e-3_wd1p2,3,,,,False,False,1.0
e5e-5_d2e-3_wd1p2,1,,,,False,False,1.0
e5e-5_d2e-3_wd1p2,2,450,900,450,True,False,1.0
e5e-5_d2e-3_wd1p2,3,,,,False,False,1.0
e5e-5_d4e-3_wd1p2,1,8750,3150,-5600,False,False,1.0
e5e-5_d4e-3_wd1p2,2,550,1250,700,True,False,1.0
e5e-5_d4e-3_wd1p2,3,,,,False,False,1.0
